entry,stratum,condition_label,condition_order,primary_outcome,condition_id,confidence_level,denominator,estimate,experiment_run_id,interval_method,lower,mcse,metric,numerator,population,uncertainty_unavailable_reason,unit,upper
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq0,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,0.95,2000,0.042,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0340516147420547,0.004486431101891125,delta_signed_eq1,84,all_patients,,probability,0.051704400567572986
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq1,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,0.95,2000,0.958,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9482955994324271,0.0044864311018911265,delta_signed_eq2,1916,all_patients,,probability,0.9659483852579454
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq2,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,delta_signed_eq3,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq3,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,delta_signed_eq4,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,60 minutes,3,score_ge2,a655632a957b2e16a6380e178e25b287c505acdfb4d021237b162a483e6c4d25,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq4,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,1.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9980829527187471,0.0,score_ge1,2000,all_patients,,probability,1.0
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.996,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9921265357039623,0.0014117352790977231,score_ge2,1992,all_patients,,probability,0.9979717533930349
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,score_ge3,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,score_eq0,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.004,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.002028246606965169,0.0014117352790977225,score_eq1,8,all_patients,,probability,0.007873464296037743
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.996,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9921265357039623,0.0014117352790977231,score_eq2,1992,all_patients,,probability,0.9979717533930349
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,score_eq3,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,score_eq4,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,suppressed_only,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,no_qualifying_data,0,all_patients,,probability,0.0019170472812529344
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,,2000,44.2175,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,0.046975527938625194,qualifying_pf_count,,all_patients,,records,
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,1.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9980829527187471,0.0,missing_baseline,2000,all_patients,,probability,1.0
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,1.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9980829527187471,0.0,delta_legacy_ge1,2000,all_patients,,probability,1.0
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_ge1,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.996,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.9921265357039623,0.0014117352790977231,delta_legacy_ge2,1992,all_patients,,probability,0.9979717533930349
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,,0,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_ge2,0,acute_and_baseline_evaluable,fewer_than_two_patients,probability,
E1_density,room_air,30 minutes,2,score_ge2,a67b9057b581f27e783ea62aa99c12d66f5b24ccf29e893259fbce1e0fbea814,0.95,2000,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,wilson,0.0,0.0,delta_signed_eq-4,0,all_patients,,probability,0.0019170472812529344
