entry,stratum,condition_label,condition_order,primary_outcome,comparator_id,condition_id,confidence_level,denominator,direction,estimate,experiment_run_id,interval_method,lower,mcse,metric,n_minus,n_plus,percentage_point_difference,population,structural_identity,uncertainty_unavailable_reason,unit,upper
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_ge1,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,0.0005,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.002182325428438018,0.0005,delta_legacy_ge2,0,1,0.05,all_patients,false,,probability_difference,0.003186174315684495
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_ge2,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.002188614799712129,0.0,delta_signed_eq-4,0,0,0.0,all_patients,false,,probability_difference,0.002188614799712129
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq-4,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.002188614799712129,0.0,delta_signed_eq-3,0,0,0.0,all_patients,false,,probability_difference,0.002188614799712129
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq-3,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.002188614799712129,0.0,delta_signed_eq-2,0,0,0.0,all_patients,false,,probability_difference,0.002188614799712129
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq-2,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.002188614799712129,0.0,delta_signed_eq-1,0,0,0.0,all_patients,false,,probability_difference,0.002188614799712129
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq-1,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,0.0,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.002188614799712129,0.0,delta_signed_eq0,0,0,0.0,all_patients,false,,probability_difference,0.002188614799712129
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,,0,variant_minus_comparator,,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,,,,delta_evaluable_eq0,0,0,,acute_and_baseline_evaluable,false,fewer_than_two_patients,probability_difference,
E1_density,room_air,5 minutes,1,score_ge2,aa6fe792e4badd0be07e24f383862d94fc9517e23c740d34c7d662fa4870b924,905ee06c180f655cf7d2b9252fc29ccdf82ce2610316e84280c737bb13e48ffd,0.95,2000,variant_minus_comparator,-0.0005,6a9803df0e45c991c044cbdfc667aebd0029bba91f4dd968e6754771e99d6460,paired_exact_discordance_bonferroni,-0.003186174315684495,0.0005,delta_signed_eq1,1,0,-0.05,all_patients,false,,probability_difference,0.002182325428438018
